indicator_id,economy_code,year,value
out_gdp_ppp_level,AFG,1970,52814.683
out_gdp_ppp_level,AFG,1971,50957.246
out_gdp_ppp_level,AFG,1972,49517.741
out_gdp_ppp_level,AFG,1973,53662.653
out_gdp_ppp_level,AFG,1974,56588.888
out_gdp_ppp_level,AFG,1975,60100.371
out_gdp_ppp_level,AFG,1976,63386.758
out_gdp_ppp_level,AFG,1977,60190.409
out_gdp_ppp_level,AFG,1978,64647.29
out_gdp_ppp_level,AFG,1979,63892.8
out_gdp_ppp_level,AFG,1980,62360.517
out_gdp_ppp_level,AFG,1981,63703.096
out_gdp_ppp_level,AFG,1982,64999.38
out_gdp_ppp_level,AFG,1983,68193.794
out_gdp_ppp_level,AFG,1984,69443.783
out_gdp_ppp_level,AFG,1985,69628.966
out_gdp_ppp_level,AFG,1986,71712.279
out_gdp_ppp_level,AFG,1987,64351.238
out_gdp_ppp_level,AFG,1988,59454.208
out_gdp_ppp_level,AFG,1989,55257.44
out_gdp_ppp_level,AFG,1990,53532.102
out_gdp_ppp_level,AFG,1991,47680.713
out_gdp_ppp_level,AFG,1992,48450.518
out_gdp_ppp_level,AFG,1993,36354.876
out_gdp_ppp_level,AFG,1994,28261.844
out_gdp_ppp_level,AFG,1995,40612.731
out_gdp_ppp_level,AFG,1996,37903.996
out_gdp_ppp_level,AFG,1997,35658.629
out_gdp_ppp_level,AFG,1998,34008.852
out_gdp_ppp_level,AFG,1999,32597.633
out_gdp_ppp_level,AFG,2000,31323.035
out_gdp_ppp_level,AFG,2001,29545.241
out_gdp_ppp_level,AFG,2002,48130.276
out_gdp_ppp_level,AFG,2003,52090.632
out_gdp_ppp_level,AFG,2004,53310.703
out_gdp_ppp_level,AFG,2005,58589.277
out_gdp_ppp_level,AFG,2006,63956.731
out_gdp_ppp_level,AFG,2007,73449.821
out_gdp_ppp_level,AFG,2008,68578.133
out_gdp_ppp_level,AFG,2009,80390.684
out_gdp_ppp_level,AFG,2010,84672.274
out_gdp_ppp_level,AFG,2011,92022.588
out_gdp_ppp_level,AFG,2012,102080.5
out_gdp_ppp_level,AFG,2013,108691.16
out_gdp_ppp_level,AFG,2014,112021.77
out_gdp_ppp_level,AFG,2015,110015.31
out_gdp_ppp_level,AFG,2016,113930.85
out_gdp_ppp_level,AFG,2017,116946.61
out_gdp_ppp_level,AFG,2018,118337.37
out_gdp_ppp_level,AFG,2019,122966.26
out_gdp_ppp_level,AFG,2020,120431.99
out_gdp_ppp_level,AFG,2021,95455.753
out_gdp_ppp_level,AFG,2022,89499.121
out_gdp_ppp_level,AFG,2023,91925.384
dem_private_cons_ppp_level,AFG,1970,55366.261
dem_private_cons_ppp_level,AFG,1971,54734.646
dem_private_cons_ppp_level,AFG,1972,49880.877
dem_private_cons_ppp_level,AFG,1973,51043.723
dem_private_cons_ppp_level,AFG,1974,50941.346
dem_private_cons_ppp_level,AFG,1975,52704.605
dem_private_cons_ppp_level,AFG,1976,50735.737
dem_private_cons_ppp_level,AFG,1977,47476.011
dem_private_cons_ppp_level,AFG,1978,48712.872
dem_private_cons_ppp_level,AFG,1979,48357.195
dem_private_cons_ppp_level,AFG,1980,48452.025
dem_private_cons_ppp_level,AFG,1981,49453.281
dem_private_cons_ppp_level,AFG,1982,51178.644
dem_private_cons_ppp_level,AFG,1983,52930.3
dem_private_cons_ppp_level,AFG,1984,53371.379
dem_private_cons_ppp_level,AFG,1985,54174.084
dem_private_cons_ppp_level,AFG,1986,54593.397
dem_private_cons_ppp_level,AFG,1987,46844.434
dem_private_cons_ppp_level,AFG,1988,41833.618
dem_private_cons_ppp_level,AFG,1989,40857.021
dem_private_cons_ppp_level,AFG,1990,40460.935
dem_private_cons_ppp_level,AFG,1991,37075.631
dem_private_cons_ppp_level,AFG,1992,38181.588
dem_private_cons_ppp_level,AFG,1993,28085.962
dem_private_cons_ppp_level,AFG,1994,21596.994
dem_private_cons_ppp_level,AFG,1995,33326.166
dem_private_cons_ppp_level,AFG,1996,31620.315
dem_private_cons_ppp_level,AFG,1997,31475.054
dem_private_cons_ppp_level,AFG,1998,32631.961
dem_private_cons_ppp_level,AFG,1999,30676.407
dem_private_cons_ppp_level,AFG,2000,35292.912
dem_private_cons_ppp_level,AFG,2001,36651.688
dem_private_cons_ppp_level,AFG,2002,47342.504
dem_private_cons_ppp_level,AFG,2003,55361.362
dem_private_cons_ppp_level,AFG,2004,52121.004
dem_private_cons_ppp_level,AFG,2005,55423.475
dem_private_cons_ppp_level,AFG,2006,57063.496
dem_private_cons_ppp_level,AFG,2007,65538.404
dem_private_cons_ppp_level,AFG,2008,57524.213
dem_private_cons_ppp_level,AFG,2009,65487.269
dem_private_cons_ppp_level,AFG,2010,66885.169
dem_private_cons_ppp_level,AFG,2011,73193.027
dem_private_cons_ppp_level,AFG,2012,90194.778
dem_private_cons_ppp_level,AFG,2013,104374.15
dem_private_cons_ppp_level,AFG,2014,89951.574
dem_private_cons_ppp_level,AFG,2015,92957.386
dem_private_cons_ppp_level,AFG,2016,96780.046
dem_private_cons_ppp_level,AFG,2017,90386.469
dem_private_cons_ppp_level,AFG,2018,114735.95
dem_private_cons_ppp_level,AFG,2019,124439.86
dem_private_cons_ppp_level,AFG,2020,113335.57
dem_private_cons_ppp_level,AFG,2021,84259.029
dem_private_cons_ppp_level,AFG,2022,81869.118
dem_private_cons_ppp_level,AFG,2023,76503.307
dem_gov_cons_ppp_level,AFG,1970,1446.7052
dem_gov_cons_ppp_level,AFG,1971,1536.6434
dem_gov_cons_ppp_level,AFG,1972,1591.9792
dem_gov_cons_ppp_level,AFG,1973,1569.3664
dem_gov_cons_ppp_level,AFG,1974,1571.2346
dem_gov_cons_ppp_level,AFG,1975,1637.3806
dem_gov_cons_ppp_level,AFG,1976,1652.9961
dem_gov_cons_ppp_level,AFG,1977,1883.6941
dem_gov_cons_ppp_level,AFG,1978,1991.2543
dem_gov_cons_ppp_level,AFG,1979,2160.6333
dem_gov_cons_ppp_level,AFG,1980,2232.8863
dem_gov_cons_ppp_level,AFG,1981,2129.793
